queue_average_reward;passed_cars_reward;pressure_reward;waiting_time_reward;noiseEmission_reward;COEmission_reward;CO2Emission_reward;fuel_reward;occupancy_reward;reward
-1;-1;-5;-0.14;10.38140353;136.2777811;17508.47137;7.526004361;0.040409483;-0.473995639
0;-1;-7;-0.35;53.53591369;-518.5902937;-12411.2021;-5.335202317;-0.013469828;-8.335202317
0;-3;-10;-0.35;-64.5022887;81.64445425;2555.482401;1.098536051;-0.001050965;-7.901463949
-2;1;-11;-0.39;59.61110115;-213.731184;-5260.583489;-2.261463861;-0.034931586;-9.261463861
1;0;-11;-0.4;7.447194203;56.16647508;1407.957068;0.605329222;0.009042896;5.605329222
-3;-1;-12;-0.52;-1.213198513;82.62097014;3339.52913;1.435554634;0;-16.56444537
8;1;-9;1.18;0.214865178;301.2981567;3795.591634;1.631677245;0.026939655;44.63167725
0;4;-3;0.74;-0.074089015;334.2615495;6111.26608;2.627109451;0.026939655;14.62710945
-1;-3;-7;0.36;-5.998710298;-124.161374;-8659.694291;-3.722444461;-0.013469828;-17.72244446
1;-2;-7;-0.06;-62.81209858;130.3741049;3865.627095;1.661762515;0.026939655;0.661762515
-2;4;-3;-0.2;15.12146488;-8.698993377;7283.635469;3.13079316;-0.006404128;5.13079316
0;-3;-8;-0.24;-1.576955295;-326.4350518;-15342.04239;-6.594861142;-0.033468347;-15.59486114
-3;0;-9;-0.31;-12.1290216;-268.6724151;-4098.156871;-1.761717755;-0.000537008;-16.76171775
1;1;-8;-0.35;-6.490076778;73.48373311;1960.713478;0.842765598;0;8.842765598
-1;-1;-10;-0.36;40.75954953;-26.05247187;5644.107406;2.426111186;-0.013469828;-5.573888814
3;0;-9;0.72;-25.02621373;381.0373943;7606.75796;3.269953573;0.013469828;18.26995357
1;2;-9;0.53;-12.59342258;34.72421264;-7221.844628;-3.104279913;-0.026939655;7.895720087
0;-1;-8;0.22;5.252469027;122.301114;2552.090465;1.097036237;0.026939655;-1.902963763
-1;1;-6;-0.11;4.57072721;110.6124011;11118.43198;4.779359938;0.013469828;2.779359938
-2;0;-4;-0.29;9.151837327;-78.65609036;-1930.350962;-0.829835649;0.026939655;-10.82983565
0;-3;-7;-0.32;55.06606911;-302.7671539;-2198.922131;-0.945356909;0;-9.945356909
-1;-2;-10;-0.35;-5.970649886;-324.493074;-10007.45575;-4.301845015;-0.013469828;-15.30184501
0;1;-12;-0.35;-60.04479483;-119.1060754;46.1198428;0.019722887;-0.040409483;3.019722887
-1;0;-14;-0.4;-13.19538806;-185.7301443;-12745.49294;-5.478652471;-0.026939655;-10.47865247
8;1;-10;1.3;5.333621714;929.0334577;18261.65721;7.850241974;0.040409483;50.85024197
-2;6;-2;0.82;14.49449713;26.19216356;-2198.522836;-0.945001165;0.026939655;7.054998835
0;-1;-1;-0.07;-18.34719264;17.31166885;1005.011139;0.431997137;0.023431573;-2.568002863
0;-1;-2;-0.15;82.11172112;379.4382725;15324.52594;6.58740883;0.003508083;3.58740883
-3;-2;-5;-0.18;-62.71883044;-402.0478509;-4900.07583;-2.106517603;-0.013469828;-23.1065176
1;-2;-8;-0.25;-8.484565367;-121.8075801;-6585.136849;-2.830716592;-0.013469828;-3.830716592
-2;0;-9;-0.27;2.683212339;-284.9187708;-2815.732057;-1.210483;-0.013469828;-11.210483
-3;0;-12;-0.33;-5.526290273;-363.838592;-10124.46891;-4.352157247;-0.040409483;-19.35215725
1;0;-12;-0.4;-2.745608203;-107.8117332;-3769.641446;-1.620441437;0;3.379558563
7;1;-9;1.16;-1.814324667;717.3075261;10036.31093;4.314518902;0.021068875;42.3145189
-2;3;-3;0.36;72.08083829;555.3684549;14665.56883;6.304290788;0.046280263;5.304290788
-3;-1;-6;-0.16;-0.117150382;-624.8242237;-6928.408725;-2.978581587;-0.026939655;-20.97858159
0;-4;-11;-0.33;-8.436040607;-319.1040487;-11757.13481;-5.053922892;-0.013469828;-17.05392289
-1;0;-13;-0.38;3.76572472;-174.4171846;372.2080282;0.159864962;-0.026939655;-4.840135038
-3;0;-16;-0.51;-1.651995862;-164.3426766;-1051.26661;-0.451997402;-0.040409483;-15.4519974
-3;-1;-17;-0.64;9.155638405;-113.2020764;4762.117662;2.046901555;-0.007706238;-15.95309845
-2;1;-19;-0.76;-70.45345973;-771.4227274;-17452.21673;-7.502243091;-0.032703245;-14.50224309
-1;0;-22;-0.81;59.68271131;-362.5287118;-3539.324335;-1.521599522;-0.040409483;-6.521599522
4;2;-19;0.9;-65.73826542;751.1906386;4567.527623;1.963774078;0.013180566;27.96377408
8;3;-14;0.94;-9.482730026;264.3006441;-7100.479462;-3.05190377;0.027228916;45.94809623
